k,from,to,k_effective_a,k_effective_b,hits,rate,chance,lift,truncated_a,truncated_b
20,gpt-oss-120b-or,mistral-large-or,20,12,7,0.350000,0.210526,0.139474,0,1
20,gpt-oss-120b-or,minimax-m2.5-or,20,18,14,0.700000,0.315789,0.384211,0,1
20,gpt-oss-120b-or,llama3.3-70b-or,20,9,6,0.300000,0.157895,0.142105,0,1
20,gpt-oss-120b-or,gemma3-1b-qat,20,40,15,0.750000,0.701754,0.048246,0,0
20,gpt-oss-120b-or,gemini3-flash-or,20,11,6,0.300000,0.192982,0.107018,0,1
20,gpt-oss-120b-or,haiku-4.5-direct,20,9,4,0.200000,0.157895,0.042105,0,1
20,gpt-oss-120b-or,gpt5-mini-or,20,14,12,0.600000,0.245614,0.354386,0,1
20,gpt5-mini-or,gemma3-1b,14,40,9,0.642857,0.701754,-0.058897,1,0
20,gpt5-mini-or,deepseek-v4f,14,18,8,0.571429,0.315789,0.255639,1,1
20,gpt5-mini-or,deepseek-v4p,14,15,8,0.571429,0.263158,0.308271,1,1
20,gpt5-mini-or,gemma4-31b-or,14,7,6,0.428571,0.122807,0.305764,1,1
20,gpt5-mini-or,mistral-large-or,14,12,6,0.428571,0.210526,0.218045,1,1
20,gpt5-mini-or,minimax-m2.5-or,14,18,10,0.714286,0.315789,0.398496,1,1
20,gpt5-mini-or,llama3.3-70b-or,14,9,6,0.428571,0.157895,0.270677,1,1
20,gpt5-mini-or,gemma3-1b-qat,14,40,13,0.928571,0.701754,0.226817,1,0
20,gpt5-mini-or,gemini3-flash-or,14,11,6,0.428571,0.192982,0.235589,1,1
20,gpt5-mini-or,haiku-4.5-direct,14,9,4,0.285714,0.157895,0.127820,1,1
20,gpt5-mini-or,gpt-oss-120b-or,14,20,12,0.857143,0.350877,0.506266,1,1
